Rank;Country;Age;Birthday;Weight;Height;WL_17;T17;Earn17;Career_high;WL_career;T_career;Earn_career
RafaelNadal;1;ESP;31;1986.06.03;85;185;67-11;6;15,851,340;1;873-185;75;94,588,627
RogerFederer;2;SUI;36;1981.08.08;85;185;52-5;7;13,054,856;1;1132-250;95;111,885,682
GrigorDimitrov;3;BUL;26;1991.05.16;80;191;49-19;4;6,575,244;3;257-161;8;14,083,976
AlexanderZverev;4;GER;20;1997.04.20;86;198;55-22;5;5,006,313;3;117-70;6;7,041,628
DominicThiem;5;AUT;24;1993.09.03;82;185;49-27;1;4,283,907;4;171-109;8;9,507,497
MarinCilic;6;CRO;29;1988.09.28;89;198;44-22;1;4,004,923;4;435-232;17;20,919,276
DavidGoffin;7;BEL;27;1990.12.07;68;180;59-24;2;3,890,613;7;201-128;4;8,995,195
JackSock;8;USA;25;1992.09.24;84;191;38-21;3;3,149,419;8;153-103;4;8,171,779
StanWawrinka;9;SUI;32;1985.03.28;81;183;26-11;1;3,083,829;3;465-262;16;30,905,144
PabloCarrenoBusta;10;ESP;26;1991.07.12;78;188;36-26;1;2,843,305;10;111-110;3;5,746,293
JuanMartindelPotro;11;ARG;29;1988.09.23;97;198;38-16;1;2,547,354;4;384-156;20;18,873,003
NovakDjokovic;12;SRB;30;1987.05.22;77;188;32-8;2;2,083,741;1;783-163;68;109,805,403
SamQuerrey;13;USA;30;1987.10.07;95;198;36-21;2;2,232,149;13;321-257;10;9,977,508
KevinAnderson;14;RSA;31;1986.05.18;93;203;32-21;0;2,842,345;10;271-201;3;10,241,620
Jo-WilfriedTsonga;15;FRA;32;1985.04.17;91;188;38-15;4;1,843,647;5;426-195;16;20,808,869
AndyMurray;16;GBR;30;1987.05.15;84;191;25-10;1;2,071,625;1;655-184;45;60,807,644
JohnIsner;17;USA;32;1985.04.26;108;208;38-22;2;1,707,550;9;359-220;12;12,567,465
LucasPouille;18;FRA;23;1994.02.23;81;185;36-22;3;1,953,511;13;85-66;4;4,514,157
TomasBerdych;19;CZE;32;1985.09.17;91;196;35-18;0;1,782,871;4;616-321;13;28,220,153
RobertoBautistaAgut;20;ESP;29;1988.04.14;76;183;48-21;2;1,753,055;13;212-130;6;7,430,934
NickKyrgios;21;AUS;22;1995.04.27;85;193;31-17;0;1,787,646;13;106-62;3;5,514,920
KeiNishikori;22;JPN;27;1989.12.29;75;178;30-13;0;1,485,482;4;331-155;11;17,624,129
